Fault_Index,Latitude,Longitude,Depth
1,343299.833,1168931.547,6754.406055
1,344538.6659,1168931.547,6511.121612
1,343299.833,1170606.459,6918.120828
1,344538.6659,1170606.459,6674.836385
2,343875.8469,1163706.824,6532.520791
2,344856.1683,1163706.824,6561.071922
2,343875.8469,1165704.069,6660.847915
2,344856.1683,1165704.069,6689.399045
3,342726.9438,1168502.147,6690.519705
3,343731.8912,1168502.147,6451.128499
3,342726.9438,1170081.033,6754.536678
3,343731.8912,1170081.033,6515.145472
4,343905.1509,1167003.504,6559.243248
4,344977.3304,1167003.504,6635.843043
4,343905.1509,1168332.98,6500.935462
4,344977.3304,1168332.98,6577.535256
5,343967.8099,1160006.721,7005.275537
5,344856.1932,1160006.721,6963.664385
5,343967.8099,1161460.794,6930.060732
5,344856.1932,1161460.794,6888.44958
6,341579.1443,1165103.739,6441.034475
6,343069.3277,1165103.739,6463.028892
6,341579.1443,1166811.337,6527.999542
6,343069.3277,1166811.337,6549.99396
7,342368.0948,1166856.594,6264.954352
7,343680.7647,1166856.594,6455.178643
7,342368.0948,1168544.92,6416.60049
7,343680.7647,1168544.92,6606.824781
8,341899.9674,1169733.236,6360.011066
8,342881.5917,1169733.236,6772.346332
8,341899.9674,1171294.678,6737.736619
8,342881.5917,1171294.678,7150.071884
9,343567.1416,1168067.378,6726.950389
9,344812.7627,1168067.378,6689.707206
9,343567.1416,1169264.231,6973.324355
9,344812.7627,1169264.231,6936.081172
10,343207.3481,1166043.688,6654.413484
10,344152.9001,1166043.688,6433.427619
10,343207.3481,1167923.287,6652.283982
10,344152.9001,1167923.287,6431.298118
11,341626.2259,1167837,6753.91733
11,342623.153,1167837,6869.021309
11,341626.2259,1169554.242,6455.44045
11,342623.153,1169554.242,6570.544429
12,340920.1735,1169415.742,6607.02661
12,341605.5045,1169415.742,6168.705807
12,340920.1735,1170988.38,6877.716987
12,341605.5045,1170988.38,6439.396184
13,343105.8304,1169283.619,6598.868906
13,344490.5224,1169283.619,6613.622189
13,343105.8304,1170859.696,6875.29392
13,344490.5224,1170859.696,6890.047203
14,343957.537,1164242.704,6741.714267
14,345022.6636,1164242.704,6620.397289
14,343957.537,1166229.171,6690.09327
14,345022.6636,1166229.171,6568.776291
15,343685.7669,1166732.599,6461.849604
15,344806.0146,1166732.599,6561.99447
15,343685.7669,1168357.09,6527.05259
15,344806.0146,1168357.09,6627.197456
16,343993.7352,1160112.663,7022.837733
16,344710.8927,1160112.663,7000.572197
16,343993.7352,1161303.836,6923.309688
16,344710.8927,1161303.836,6901.044152
17,345348.1548,1165762.981,6402.384354
17,346279.9041,1165762.981,6630.575458
17,345348.1548,1167945.62,6750.858755
17,346279.9041,1167945.62,6979.049859
18,342454.2889,1166648.076,6420.647835
18,343652.4603,1166648.076,6579.335907
18,342454.2889,1168338.592,6419.300143
18,343652.4603,1168338.592,6577.988215
19,341587.4209,1164959.495,6363.232371
19,342837.2381,1164959.495,6518.252349
19,341587.4209,1166831.779,6554.022416
19,342837.2381,1166831.779,6709.042394
20,341122.6337,1168936.747,6326.021337
20,342651.6702,1168936.747,6115.532393
20,341122.6337,1171130.471,6763.354827
20,342651.6702,1171130.471,6552.865884